LocationNormalized,Id,SalaryNormalized,log_avg_salary,len_requirement,words_requirement
Worle,67937163.0,153600.0,11.94210709969571,325.0,42.0
Denver,69176918.0,100000.0,11.512925464970229,451.0,59.5
Berwyn,71120587.0,100000.0,11.512925464970229,1832.0,217.0
Philadelphia,72195415.0,95000.0,11.461632170582678,1894.0,226.0
Quebec,70846211.8,90000.0,11.407564949312402,1294.2,155.6
Reston,68281307.5,88750.0,11.393479510829053,622.0,79.5
Northam,70764265.0,87600.0,11.380536276924483,544.0,76.0
Dungeness,69777197.0,86400.0,11.366742954792146,459.0,57.0
Port Charlotte,69148184.5,84500.0,11.338146726885295,1848.0,224.5
Dallas,70722570.0,82000.0,11.299648036695555,921.4,113.6
Seer Green,72373808.0,80000.0,11.289781913656018,1295.0,168.0
Sefton,72374225.0,75000.0,11.225243392518447,1040.0,142.0
Houston,68965579.83333333,74916.66666666667,11.037901560376957,886.6666666666666,109.33333333333333
Stow Longa,68626966.0,73800.0,11.209114010588564,1421.0,172.0
West Allington,70763407.0,72500.0,11.161326706763504,597.0,84.5
Arlington,71809319.0,72500.0,11.191341840842766,1065.0,136.0
Hook Common,70827267.1111111,72252.77777777778,11.140587124862655,1357.111111111111,167.88888888888889
Mile End,68666347.0,72213.0,11.151556226905532,1810.5,238.5
Hampton Poyle,69018364.0,72000.0,11.184421397998193,1418.0,197.0
Moor Row,64689515.0,72000.0,11.184421397998193,1848.0,224.0
Tain,71706055.0,72000.0,11.184421397998193,1765.0,226.0
Mylor Bridge,68561209.0,72000.0,11.184421397998193,756.0,95.0
Channel Islands,70087531.6,71500.0,11.097511593463272,975.2,133.8
Auckland Park,71761095.5,71250.0,11.134961068946419,920.25,120.0
The Upper Wyke,68561884.5,71250.0,11.138066698946059,2061.5,260.0
New York,71142582.83333333,71250.0,11.103961289577404,1670.6666666666667,200.5
South Bermonsey,72703405.0,70000.0,11.156250521031495,662.0,95.0
Ash,72161426.0,70000.0,11.156250521031495,1755.0,216.0
Southwater,68632030.5,67800.0,11.122395073663203,949.0,117.5
Saltburn-By-The-Sea,70098238.5,65710.0,10.996386912331964,1079.0,136.0
New Zealand,70785883.33333333,65243.333333333336,11.014171916082871,1053.7777777777778,137.77777777777777
East Somerton,69731282.0,65000.0,11.082142548877775,824.0,116.0
Park,70607266.0,65000.0,11.082142548877775,455.0,55.0
Queen Adelaide,65913724.0,65000.0,11.082142548877775,1633.0,214.0
Shortlands,71084434.5,63437.5,10.985562943968455,798.375,103.125
Winkfield,68815277.5,63360.0,11.056588026488308,1124.0,150.0
Northaw,72161352.0,62500.0,11.042921835724492,1574.0,208.0
South Thoresby,68301673.0,62499.0,11.04290583559649,2027.0,255.0
West Halton,68580379.0,62499.0,11.04290583559649,574.0,77.0
South Muskham,71389014.0,62499.0,11.04290583559649,2409.0,310.0
Crown East,72421321.0,62499.0,11.04290583559649,1473.0,197.0
Baughton,72609006.0,61440.0,11.025816367821553,876.0,112.0
Warton,67945227.0,61440.0,11.025816367821553,1025.0,134.0
North Woolwich,71415428.66666667,60506.666666666664,10.9096839044351,1173.0,157.0
Calderbridge,72635325.0,60000.0,11.002099841204238,3978.0,470.0
Yarmouth,68046402.0,60000.0,11.002099841204238,251.0,31.0
Sellafield,70649585.14285715,59574.28571428572,10.940900932841874,853.3571428571429,105.85714285714286
Cuffley,70335077.2,59500.0,10.972133281493921,2123.4,259.2
Staple Hill,68206484.0,58000.0,10.968198289528557,1641.0,207.0
Coulsdon North,69787841.0,58000.0,10.968198289528557,3031.0,366.0
North Finchley,69566498.2,57829.42857142857,10.806499673290444,952.5428571428571,129.25714285714287
Ireland,71741258.55555555,57741.333333333336,10.89469843753117,1313.2222222222222,164.0
St. Boswells,70215029.0,57600.0,10.961277846683982,530.0,77.0
Holmrook,67054942.5,57600.0,10.957793512025937,1819.0,224.0
Sundridge,69675701.66666667,57508.333333333336,10.945243750581824,3042.0,371.3333333333333
Somers Town,69194173.0,57500.0,10.959540226785442,2373.0,314.0
Girton,72121196.0,57500.0,10.959540226785442,262.0,39.0
Seascale,70225278.53333333,57422.833333333336,10.86970091270138,1508.6,188.33333333333334
California,69557546.0,56016.0,10.933392643194447,241.0,37.0
Heysham,69079393.5,55980.0,10.486249049511496,3832.0,474.0
Canary Wharf,69323452.70588236,55761.76470588235,10.787217833406443,1168.6470588235295,146.94117647058823
Blaenau Ffestiniog,70810989.33333333,55609.333333333336,10.7388696730796,1245.6666666666667,157.0
Gipsy Hill,72106976.86666666,55565.4,10.83187546618603,1192.1666666666667,152.8
Alvaston,69033523.5,55500.0,10.913640087451757,901.5,120.5
Old Aberdeen,69959738.76923077,55294.53846153846,10.816028728447689,1294.4615384615386,163.15384615384616
Bisham,69669774.0,55000.0,10.915088464214607,1625.0,208.0
Mancetter,72373231.5,55000.0,10.915088464214607,935.5,112.5
Oxford Circus,69883188.66666667,55000.0,10.91307891278789,1831.6666666666667,243.66666666666666
Benham Hill,72248374.0,55000.0,10.915088464214607,2257.0,288.0
Leitrim,67108059.0,55000.0,10.915088464214607,523.0,75.0
Walton-Le-Dale,69513450.4,54880.0,10.83313162339301,813.4,103.0
North Standen,70692725.0,54750.0,10.836978997768949,943.5,121.5
Leamouth,71966599.0,53500.0,10.887436932884098,1482.5,189.5
Heckmondwike,69120726.8,53218.6,10.26462610580172,613.2,80.0
Melbourne,70620014.9,53008.4,10.727391002654945,808.5,107.6
Halton,68425513.75,52982.0,10.806960181811508,690.5,96.0
Enstone,69746688.0,52800.0,10.874266469694353,572.0,81.0
Thornhill,70467493.0,52750.0,10.770420297940705,446.0,55.5
Falkland,72337645.0,52500.0,10.868568448579715,1358.0,168.0
South Littleton,69072401.0,52499.5,10.850082595254499,858.5,118.5
Aldermaston,70373786.5,51850.0,10.427147049676407,2766.5,333.5
Brockworth,70169370.0,51732.0,10.853831824535135,1426.0,204.5
Ryde,70510805.5,51480.0,10.617819531279327,602.0,85.5
Wythall,71026055.0,51135.0,10.840836803516813,1447.0,185.5
Longbridge,69365238.4,50604.0,10.792693469094488,1848.5,227.0
Whistlow,69445357.2,50500.0,10.728398011458236,1920.7,240.8
Skelton,70763677.0,50500.0,10.829728615263452,130.0,17.0
Irthlingborough,69539853.0,50500.0,10.829728615263452,956.0,112.0
Marske,70763681.0,50500.0,10.829728615263452,108.0,16.0
Hooke,69532708.97142857,50358.142857142855,10.644401128001304,1096.2,138.02857142857144
Sewardstone,68561265.0,50208.0,10.823929655532758,416.0,57.0
Heyshott,71631138.0,50000.0,10.819778284410283,1062.0,143.0
West Lockinge,72372630.0,50000.0,10.819778284410283,892.0,126.0
Earls Barton,67775368.0,50000.0,10.819778284410283,737.0,101.0
Welburn,71760259.0,50000.0,10.819778284410283,1733.5,206.5
Fitzrovia,69026323.0,50000.0,10.819778284410283,1576.0,198.0
Old,72373608.0,50000.0,10.819778284410283,814.0,111.0
West Bradford,71750288.0,50000.0,10.819778284410283,1058.0,126.0
Howden,69024939.0,50000.0,10.819778284410283,890.0,119.0
Lowfield Heath,70509238.5,49875.0,10.756429135788975,1543.25,192.0
Livingston Village,71422184.5,49234.375,10.76998031865533,710.0,90.875
Oakdale,68364166.66666667,49200.0,10.79256362139678,767.0,99.0
Holborn,69354468.66666667,49166.666666666664,10.702785976802252,903.3333333333334,117.33333333333333
East Rolstone,68471325.0,49150.0,10.703433802331412,1859.5,237.0
Waltham On The Wolds,71814257.0,48923.0,10.798002912532443,2190.0,289.0
West Fenton,70196304.5,48749.5,10.75300458803402,1361.5,179.0
North East Lincolnshire,70591516.8,48600.0,10.673324160721359,1393.8,181.8
Hanham,69116330.0,47850.0,10.686543946383992,988.5,128.0
